,grdc_no,KGE_corrected
0,1104150,-0.407878061728314
1,1112110,-8.23546414970936
2,1112330,-6.260597679058026
3,1112340,0.18296899002019176
4,1134310,-3.624736043093865
5,1134460,0.206890668304829
6,1134480,0.079263847475858
7,1159131,-0.791222942685351
8,1159500,-60.61723481647275
9,1160353,-5.16468802717497
10,1160378,-2.099445729990845
11,1160391,-6.3120374207738
12,1160460,0.249190806661553
13,1160493,-2.64262706827155
14,1160533,0.254492234046012
15,1196105,-0.815359498026021
16,1196405,-0.094291089422553
17,1196569,-0.202561991270602
18,1201500,-0.4102338993410095
19,1234180,-5.4848763523105255
20,1258100,-300.76934241345003
21,1258201,-44.1397012115005
22,1258500,-8.33938532931962
23,1259100,-5.458801414083265
24,1269600,-1.1262486728333405
25,1287800,0.2633093588334697
26,1308600,0.482593651403901
27,1340500,0.48213011277490603
28,1357100,0.2898027787213062
29,1362100,-6.63395056718045
30,1396101,0.350525904559294
31,1426200,0.476594587547309
32,1426210,0.6158461249401714
33,1426260,0.4265434223631103
34,1426300,0.15700452061192074
35,1426350,-0.8208550854342638
36,1427500,0.21082480582920748
37,1428500,0.163199298154328
38,1472300,-0.11755745092287534
39,1491210,-0.1792060184335555
40,1531700,-0.09561397012693645
41,1537100,-1.8229937645865557
42,1537500,-0.331673670956832
43,1577603,0.0362589475902234
44,1591820,-0.19792301302259693
45,1653100,-0.0030113941693432
46,1673100,-3.6347798473885753
47,1673600,-1.2359841281611434
48,1673900,-0.9266717432506133
49,1734600,0.0750840792460991
50,1737210,0.169391769627382
51,1749050,0.5663657756490917
52,1749080,0.400759728921374
53,1749100,0.43069332096367535
54,1749500,0.180711445003027
55,1749600,0.300737922620479
56,1837106,0.29996263194830053
57,1837200,-1.34481753355024
58,1837401,0.5128697713935275
59,1878100,-0.160316660216097
60,1878300,-0.913294478905045
61,1894400,0.43606392360999247
62,1931710,0.26660018298339
63,1931905,0.279905042709239
64,1992700,0.22892628382386582
65,1992710,-0.47192362490636103
66,1993401,0.39221394970573953
67,2151100,-0.0981866006330492
68,2178300,-0.6848670592766759
69,2178500,0.2904615058662154
70,2240103,-3.263981032623345
71,2311307,-2.0121865924389226
72,2311308,-10.878617218275
73,2311309,-39.4099485745854
74,2311479,-0.990806442747322
75,2316500,0.550460071075894
76,2335950,0.177887585572661
77,2517820,-0.380686493559163
78,2517830,-0.0225241963932962
79,2550200,-0.0008923004700467
80,2816203,-3.90267837235643
81,2853050,0.361827139848164
82,2854450,-0.0948432091189046
83,2856600,-1.8966447889787166
84,2903461,0.056895078533276
85,2903470,-2.61423489058907
86,2903640,0.0403101083201836
87,2903701,0.6041019020714895
88,2903702,0.724931313053477
89,2903703,-1.14004979248827
90,2906700,0.3757407167851705
91,2907048,-20.7119055658584
92,2908102,0.10731648538362315
93,2908103,0.4127421295599105
94,2908105,0.0834186111704576
95,2909154,0.391135301968774
96,2909156,0.294058480099213
97,2909357,-422.35137628017446
98,2909750,0.2640359138867465
99,2910340,0.356760627522343
100,2910560,0.5484568634805065
101,2911390,-3.70904803156837
102,2911391,-56.13599979056305
103,2911455,0.0496435404019174
104,2911590,-0.6292430816391346
105,2911680,-0.03450007240774745
106,2964122,-0.166426256062044
107,2964130,0.482997067375978
108,2969087,0.147008757825934
109,2969230,0.05776574540097033
110,2969231,0.20670219676795468
111,2969232,0.597405712089972
112,2998450,0.385412179839596
113,2998451,0.403284296677149
114,2998550,-5.9991987381323
115,3179800,0.196944144792012
116,3180110,-191.401135348689
117,3180120,-6.718497174045605
118,3180500,-43.69770932309705
119,3218100,0.0773781637031434
120,3265030,-0.7536338772176729
121,3265070,0.379386618860902
122,3265100,-0.617492106269546
123,3265300,0.31807717827411
124,3275050,-0.061951693220756665
125,3275270,-85.36447919167175
126,3469100,-0.018994880225501748
127,3627001,-0.393801558743265
128,3630100,0.541904806124904
129,3631210,0.261289504715862
130,3636100,-0.6440147230160025
131,3637800,0.023004479050821994
132,3638215,0.0325153619261449
133,3650205,0.641168511275708
134,3650355,0.04446961850897602
135,3650455,-4.44609873618607
136,3650460,0.394852608247326
137,3651900,-0.566331482623273
138,3652039,0.4661108590612425
139,3652050,-1.08358436970831
140,3666400,-0.0542186387101789
141,4103601,-4334.90163761082
142,4113305,0.160357784682507
143,4113364,0.2824657950254148
144,4113365,-1.1642205004949
145,4113400,-1.13718660608976
146,4115221,-0.0584544957392008
147,4115270,-23.570207788089203
148,4115280,0.09295034986172415
149,4115301,0.0806976533955215
150,4116182,0.4348674313816
151,4119461,0.4041711786685623
152,4120200,-1.00533773797536
153,4120201,0.329734415335133
154,4120310,-1.106975042625674
155,4120321,0.4188974929955235
156,4121100,0.44774091323631
157,4121120,-0.177644187477201
158,4121140,-2.27144470538992
159,4121142,0.700532029194288
160,4121147,0.12196901533865591
161,4121301,0.131667493638246
162,4121321,0.21887108343861214
163,4121420,-0.39356057339550554
164,4122130,-0.141151073715936
165,4122131,0.433301606837424
166,4122133,0.486203792208826
167,4122150,-0.5129744959932566
168,4122152,0.11235632935958
169,4122220,-0.339320081566354
170,4122351,-2.377456710703835
171,4122602,-0.051868185484583496
172,4122700,0.460107189972803
173,4125060,0.3355288709144315
174,4125061,0.486407427994386
175,4125063,-1.1283724364854113
176,4125064,-6.566243995387804
177,4125550,0.0733283851157244
178,4125551,-8.38220053414815
179,4125580,0.310761327920651
180,4125800,-0.154040975709798
181,4125803,0.576083615193007
182,4133400,0.151065333897544
183,4148550,0.293905392112064
184,4150281,-0.627281579166845
185,4150282,0.33140114271257326
186,4150283,-1.63416652036308
187,4150452,-2.14041403386649
188,4150475,-4.297063427684965
189,4150505,-2.45895874230404
190,4150507,-2.1159139633333
191,4150600,0.0872732678402309
192,4151511,-0.20948785067974351
193,4151515,-9.0036058868039
194,4151600,-18.688078644485632
195,4151801,-0.029574452142082243
196,4151804,-6.461647432016375
197,4152050,-0.196340705446612
198,4152110,-4.59867064001874
199,4152465,-1.39844443784494
200,4152466,-3.7555288510105496
201,4152620,-0.18513827718323198
202,4152800,0.119555972566892
203,4203060,0.4076110179531475
204,4207250,0.208474623207676
205,4208160,-1.7138899154672549
206,4208170,0.09046745868539785
207,4208350,-0.749233095631808
208,4208370,0.738060459063196
209,4208371,0.822259972217757
210,4208565,0.4175294283088143
211,4208821,0.289456136333648
212,4208822,0.5675657430199815
213,4208880,0.49484341612911
214,4209150,0.6196066273441
215,4209155,0.562630065772381
216,4213183,0.424742290682922
217,4213202,-0.965054208494038
218,4213510,0.258907930720001
219,4213571,0.400598105028706
220,4213576,0.573066709498649
221,4213601,0.28277292302181734
222,4213650,0.3098857146521569
223,4214100,0.223468511642387
224,4214261,-1.47137073604626
225,4214270,-0.7669578470216455
226,4214281,0.4905866985543257
227,4214460,0.101556232904319
228,4351200,-0.392861652660202
229,4351900,-10.863619531897584
230,4355300,0.043876150053326
231,4355400,0.149158774439884
232,4362201,0.06944657071954453
233,4462700,0.481945518270073
234,4773800,-0.0746052828880086
235,5101201,-2.787567138362755
236,5109161,-0.11359718371707
237,5202102,0.6394383406673155
238,5202103,0.881188693838754
239,5204101,0.309111003391404
240,5204181,-0.161614578537195
241,5204251,-2.30649615140155
242,5204252,-1.03351126432706
243,5204253,-20.1603973658728
244,5204255,0.35472802820592836
245,5204300,-1.0461303056164502
246,5204450,-0.16716970123887553
247,5302229,0.3596824604325705
248,5404271,0.123724841376139
249,5410100,-1.8228176449731706
250,5606100,-0.724123703108777
251,6212450,0.502500152599765
252,6212460,0.594216258930345
253,6216520,-10.6128682359778
254,6227410,-3.164454934342548
255,6227420,-3.4888940118627914
256,6233750,-0.08922582244874733
257,6242820,0.09387604568288141
258,6357500,0.411344044352455
259,6457200,0.145835976361824
260,6457990,-5.8196190385396465
261,6458010,-1.2515335815649902
262,6458550,0.537468583448696
263,6546801,0.652629586684954
264,6547500,0.355913898575588
265,6688150,0.1541133545002944
266,6692100,0.5670476618169911
